cod;nome;período;valor
3550308;35;1999;477
4106902;41;1999;37
4205407;42;1999;2
4314902;43;1999;27
5002704;50;1999;20
5103403;51;1999;23
5208707;52;1999;31
5300108;53;1999;60
1100205;11;2000;17
1200401;12;2000;10
1302603;13;2000;28
1400100;14;2000;11
1501402;15;2000;18
1600303;16;2000;4
1721000;17;2000;3
2111300;21;2000;16
2211001;22;2000;9
2304400;23;2000;46
2408102;24;2000;1
2507507;25;2000;11
2611606;26;2000;77
2704302;27;2000;23
2800308;28;2000;8
2927408;29;2000;27
3106200;31;2000;66
3205309;32;2000;10
3304557;33;2000;217
3550308;35;2000;417
4106902;41;2000;21
4205407;42;2000;8
4314902;43;2000;40
5002704;50;2000;22
5103403;51;2000;21
5208707;52;2000;28
5300108;53;2000;41
1100205;11;2001;33
1200401;12;2001;8
1302603;13;2001;43
1400100;14;2001;5
1501402;15;2001;30
1600303;16;2001;7
1721000;17;2001;4
2111300;21;2001;18
2211001;22;2001;15
2304400;23;2001;40
2408102;24;2001;7
2507507;25;2001;19
2611606;26;2001;66
2704302;27;2001;28
2800308;28;2001;13
2927408;29;2001;35
3106200;31;2001;47
3205309;32;2001;21
3304557;33;2001;190
3550308;35;2001;393
4106902;41;2001;44
4205407;42;2001;4
4314902;43;2001;21
5002704;50;2001;20
5103403;51;2001;23
5208707;52;2001;28
5300108;53;2001;44
1100205;11;2002;15
1200401;12;2002;11
1302603;13;2002;25
1400100;14;2002;8
1501402;15;2002;20
1600303;16;2002;7
1721000;17;2002;2
2111300;21;2002;11
2211001;22;2002;12
2304400;23;2002;55
2408102;24;2002;6
2507507;25;2002;12
2611606;26;2002;53
2704302;27;2002;26
2800308;28;2002;9
2927408;29;2002;26
3106200;31;2002;43
3205309;32;2002;14
3304557;33;2002;200
3550308;35;2002;355
4106902;41;2002;32
4205407;42;2002;10
4314902;43;2002;42
5002704;50;2002;16
5103403;51;2002;18
5208707;52;2002;31
5300108;53;2002;50
1100205;11;2003;13
1200401;12;2003;10
1302603;13;2003;27
1400100;14;2003;5
1501402;15;2003;22
1600303;16;2003;8
1721000;17;2003;3
2111300;21;2003;18
2211001;22;2003;10
2304400;23;2003;49
2408102;24;2003;8
2507507;25;2003;6
2611606;26;2003;55
2704302;27;2003;19
2800308;28;2003;8
2927408;29;2003;34
3106200;31;2003;84
3205309;32;2003;10
3304557;33;2003;170
3550308;35;2003;359
4106902;41;2003;38
4205407;42;2003;4
4314902;43;2003;24
5002704;50;2003;14
5103403;51;2003;22
5208707;52;2003;27
5300108;53;2003;62
1100205;11;2004;13
1200401;12;2004;6
1302603;13;2004;34
1400100;14;2004;3
1501402;15;2004;19
1600303;16;2004;10
1721000;17;2004;3
2111300;21;2004;17
2211001;22;2004;5
2304400;23;2004;42
2408102;24;2004;0
2507507;25;2004;9
2611606;26;2004;81
2704302;27;2004;23
2800308;28;2004;9
2927408;29;2004;36
3106200;31;2004;87
3205309;32;2004;13
3304557;33;2004;193
3550308;35;2004;277
4106902;41;2004;40
4205407;42;2004;13
4314902;43;2004;37
5002704;50;2004;9
5103403;51;2004;23
5208707;52;2004;16
5300108;53;2004;52
1100205;11;2005;11
1200401;12;2005;5
1302603;13;2005;37
1400100;14;2005;5
1501402;15;2005;27
1600303;16;2005;13
1721000;17;2005;1
2111300;21;2005;14
2211001;22;2005;12
2304400;23;2005;51
2408102;24;2005;10
2507507;25;2005;22
2611606;26;2005;72
2704302;27;2005;24
2800308;28;2005;8
2927408;29;2005;70
3106200;31;2005;82
3205309;32;2005;20
3304557;33;2005;147
3550308;35;2005;226
4106902;41;2005;43
4205407;42;2005;7
4314902;43;2005;39
5002704;50;2005;18
5103403;51;2005;13
5208707;52;2005;23
5300108;53;2005;47
1100205;11;2006;17
1200401;12;2006;15
1302603;13;2006;30
1400100;14;2006;3
1501402;15;2006;32
1600303;16;2006;9
1721000;17;2006;1
2111300;21;2006;17
2211001;22;2006;16
2304400;23;2006;55
2408102;24;2006;14
2507507;25;2006;13
2611606;26;2006;61
2704302;27;2006;36
2800308;28;2006;10
2927408;29;2006;71
3106200;31;2006;93
3205309;32;2006;19
3304557;33;2006;189
3550308;35;2006;249
4106902;41;2006;41
4205407;42;2006;2
4314902;43;2006;32
5002704;50;2006;10
5103403;51;2006;9
5208707;52;2006;31
5300108;53;2006;49
1100205;11;2007;7
1200401;12;2007;11
1302603;13;2007;37
1400100;14;2007;8
1501402;15;2007;14
1600303;16;2007;8
1721000;17;2007;1
2111300;21;2007;6
2211001;22;2007;14
2304400;23;2007;43
2408102;24;2007;12
2507507;25;2007;21
2611606;26;2007;73
2704302;27;2007;34
2800308;28;2007;6
2927408;29;2007;85
3106200;31;2007;86
3205309;32;2007;14
3304557;33;2007;108
3550308;35;2007;171
4106902;41;2007;48
4205407;42;2007;3
4314902;43;2007;44
5002704;50;2007;19
5103403;51;2007;17
5208707;52;2007;27
5300108;53;2007;55
1100205;11;2008;7
1200401;12;2008;7
1302603;13;2008;45
1400100;14;2008;6
1501402;15;2008;39
1600303;16;2008;7
1721000;17;2008;2
2111300;21;2008;20
2211001;22;2008;16
2304400;23;2008;48
2408102;24;2008;16
2507507;25;2008;17
2611606;26;2008;60
2704302;27;2008;35
2800308;28;2008;4
2927408;29;2008;84
3106200;31;2008;69
3205309;32;2008;14
3304557;33;2008;121
3550308;35;2008;170
4106902;41;2008;63
4205407;42;2008;6
4314902;43;2008;45
5002704;50;2008;10
5103403;51;2008;22
5208707;52;2008;35
5300108;53;2008;64
1100205;11;2009;19
1200401;12;2009;12
1302603;13;2009;44
1400100;14;2009;12
1501402;15;2009;37
1600303;16;2009;8
1721000;17;2009;3
2111300;21;2009;17
2211001;22;2009;13
2304400;23;2009;47
2408102;24;2009;18
2507507;25;2009;28
2611606;26;2009;71
2704302;27;2009;42
2800308;28;2009;6
2927408;29;2009;101
3106200;31;2009;72
3205309;32;2009;12
3304557;33;2009;136
3550308;35;2009;168
4106902;41;2009;75
4205407;42;2009;8
4314902;43;2009;39
5002704;50;2009;12
5103403;51;2009;20
5208707;52;2009;38
5300108;53;2009;76
1100205;11;2010;12
1200401;12;2010;12
1302603;13;2010;47
1400100;14;2010;8
1501402;15;2010;44
1600303;16;2010;13
1721000;17;2010;3
2111300;21;2010;24
2211001;22;2010;12
2304400;23;2010;71
2408102;24;2010;21
2507507;25;2010;37
2611606;26;2010;47
2704302;27;2010;58
2800308;28;2010;9
2927408;29;2010;128
3106200;31;2010;63
3205309;32;2010;13
3304557;33;2010;117
3550308;35;2010;165
4106902;41;2010;84
4205407;42;2010;7
4314902;43;2010;47
5002704;50;2010;20
5103403;51;2010;10
