cod,nome,Ano,Taxa Feminicídio,cod_estado,estado
2304400,23,2016,66,23,Ceará
2408102,24,2016,36,24,Rio Grande do Norte
2507507,25,2016,23,25,Paraíba
2611606,26,2016,44,26,Pernambuco
2704302,27,2016,28,27,Alagoas
1100205,11,2016,19,11,Rondônia
2800308,28,2016,13,28,Sergipe
2927408,29,2016,93,29,Bahia
3106200,31,2016,32,31,Minas Gerais
3205309,32,2016,3,32,Espírito Santo
3304557,33,2016,146,33,Rio de Janeiro
3550308,35,2016,96,35,São Paulo
4106902,41,2016,37,41,Paraná
4205407,42,2016,7,42,Santa Catarina
4314902,43,2016,68,43,Rio Grande do Sul
5002704,50,2016,21,50,Mato Grosso do Sul
5103403,51,2016,8,51,Mato Grosso
5208707,52,2016,46,52,Goiás
5300108,53,2016,64,53,Distrito Federal
1100205,11,2017,18,11,Rondônia
1200401,12,2017,21,12,Acre
1302603,13,2017,70,13,Amazonas
1400100,14,2017,12,14,Roraima
1501402,15,2017,70,15,Pará
1600303,16,2017,12,16,Amapá
1721000,17,2017,3,17,Tocantins
2111300,21,2017,22,21,Maranhão
2211001,22,2017,19,22,Piauí
2304400,23,2017,129,23,Ceará
2408102,24,2017,39,24,Rio Grande do Norte
2507507,25,2017,23,25,Paraíba
2611606,26,2017,62,26,Pernambuco
2704302,27,2017,34,27,Alagoas
2800308,28,2017,13,28,Sergipe
2927408,29,2017,105,29,Bahia
3106200,31,2017,44,31,Minas Gerais
3205309,32,2017,16,32,Espírito Santo
3304557,33,2017,135,33,Rio de Janeiro
3550308,35,2017,82,35,São Paulo
4106902,41,2017,32,41,Paraná
4205407,42,2017,6,42,Santa Catarina
4314902,43,2017,70,43,Rio Grande do Sul
5002704,50,2017,11,50,Mato Grosso do Sul
5103403,51,2017,11,51,Mato Grosso
5208707,52,2017,50,52,Goiás
5300108,53,2017,46,53,Distrito Federal
1100205,11,2018,13,11,Rondônia
1200401,12,2018,22,12,Acre
1302603,13,2018,82,13,Amazonas
1400100,14,2018,22,14,Roraima
1501402,15,2018,82,15,Pará
1600303,16,2018,8,16,Amapá
1721000,17,2018,8,17,Tocantins
2111300,21,2018,20,21,Maranhão
2211001,22,2018,20,22,Piauí
2304400,23,2018,197,23,Ceará
2408102,24,2018,22,24,Rio Grande do Norte
2507507,25,2018,21,25,Paraíba
2611606,26,2018,44,26,Pernambuco
2704302,27,2018,26,27,Alagoas
2800308,28,2018,9,28,Sergipe
2927408,29,2018,78,29,Bahia
3106200,31,2018,35,31,Minas Gerais
3205309,32,2018,5,32,Espírito Santo
3304557,33,2018,112,33,Rio de Janeiro
3550308,35,2018,48,35,São Paulo
4106902,41,2018,25,41,Paraná
4205407,42,2018,8,42,Santa Catarina
4314902,43,2018,56,43,Rio Grande do Sul
5002704,50,2018,14,50,Mato Grosso do Sul
5103403,51,2018,12,51,Mato Grosso
5208707,52,2018,43,52,Goiás
5300108,53,2018,55,53,Distrito Federal
2704302,27,2019,29,27,Alagoas
1100205,11,2019,11,11,Rondônia
1200401,12,2019,14,12,Acre
1302603,13,2019,78,13,Amazonas
1400100,14,2019,14,14,Roraima
1501402,15,2019,53,15,Pará
1600303,16,2019,9,16,Amapá
1721000,17,2019,8,17,Tocantins
2111300,21,2019,14,21,Maranhão
2211001,22,2019,12,22,Piauí
2304400,23,2019,75,23,Ceará
2408102,24,2019,14,24,Rio Grande do Norte
2507507,25,2019,16,25,Paraíba
2611606,26,2019,45,26,Pernambuco
2800308,28,2019,8,28,Sergipe
2927408,29,2019,70,29,Bahia
3106200,31,2019,47,31,Minas Gerais
3205309,32,2019,4,32,Espírito Santo
3304557,33,2019,48,33,Rio de Janeiro
3550308,35,2019,47,35,São Paulo
4106902,41,2019,19,41,Paraná
4205407,42,2019,6,42,Santa Catarina
4314902,43,2019,25,43,Rio Grande do Sul
5002704,50,2019,12,50,Mato Grosso do Sul
5103403,51,2019,4,51,Mato Grosso
5208707,52,2019,20,52,Goiás
5300108,53,2019,55,53,Distrito Federal
1100205,11,2020,19,11,Rondônia
5300108,53,2020,35,53,Distrito Federal
5208707,52,2020,18,52,Goiás
5103403,51,2020,12,51,Mato Grosso
5002704,50,2020,18,50,Mato Grosso do Sul
4314902,43,2020,34,43,Rio Grande do Sul
4205407,42,2020,7,42,Santa Catarina
4106902,41,2020,18,41,Paraná
3550308,35,2020,27,35,São Paulo
3304557,33,2020,82,33,Rio de Janeiro
3205309,32,2020,7,32,Espírito Santo
3106200,31,2020,37,31,Minas Gerais
2927408,29,2020,95,29,Bahia
2800308,28,2020,12,28,Sergipe
2704302,27,2020,33,27,Alagoas
2611606,26,2020,34,26,Pernambuco
2507507,25,2020,13,25,Paraíba
2408102,24,2020,18,24,Rio Grande do Norte
2304400,23,2020,101,23,Ceará
2211001,22,2020,17,22,Piauí
2111300,21,2020,21,21,Maranhão
1721000,17,2020,9,17,Tocantins
1600303,16,2020,12,16,Amapá
1501402,15,2020,34,15,Pará
1400100,14,2020,13,14,Roraima
1302603,13,2020,54,13,Amazonas
1200401,12,2020,16,12,Acre
5300108,53,2021,46,53,Distrito Federal
1100205,11,2021,18,11,Rondônia
1200401,12,2021,14,12,Acre
1302603,13,2021,76,13,Amazonas
1400100,14,2021,9,14,Roraima
1501402,15,2021,28,15,Pará
1600303,16,2021,15,16,Amapá
1721000,17,2021,9,17,Tocantins
2111300,21,2021,14,21,Maranhão
2211001,22,2021,21,22,Piauí
2304400,23,2021,91,23,Ceará
2408102,24,2021,12,24,Rio Grande do Norte
2507507,25,2021,12,25,Paraíba
2611606,26,2021,44,26,Pernambuco
2704302,27,2021,20,27,Alagoas
2800308,28,2021,12,28,Sergipe
2927408,29,2021,93,29,Bahia
3106200,31,2021,28,31,Minas Gerais
3205309,32,2021,6,32,Espírito Santo
3304557,33,2021,60,33,Rio de Janeiro
3550308,35,2021,34,35,São Paulo
4106902,41,2021,24,41,Paraná
4205407,42,2021,6,42,Santa Catarina
4314902,43,2021,31,43,Rio Grande do Sul
5002704,50,2021,11,50,Mato Grosso do Sul
5103403,51,2021,8,51,Mato Grosso
5208707,52,2021,14,52,Goiás
1100205,11,2022,15,11,Rondônia
1200401,12,2022,4,12,Acre
1302603,13,2022,72,13,Amazonas
1400100,14,2022,15,14,Roraima
1501402,15,2022,23,15,Pará
1600303,16,2022,9,16,Amapá
1721000,17,2022,4,17,Tocantins
2111300,21,2022,10,21,Maranhão
2211001,22,2022,15,22,Piauí
2304400,23,2022,85,23,Ceará
2408102,24,2022,13,24,Rio Grande do Norte
2507507,25,2022,5,25,Paraíba
2611606,26,2022,48,26,Pernambuco
2704302,27,2022,25,27,Alagoas
2800308,28,2022,13,28,Sergipe
2927408,29,2022,79,29,Bahia
3106200,31,2022,34,31,Minas Gerais
3205309,32,2022,8,32,Espírito Santo
3304557,33,2022,69,33,Rio de Janeiro
3550308,35,2022,36,35,São Paulo
4106902,41,2022,34,41,Paraná
4205407,42,2022,3,42,Santa Catarina
4314902,43,2022,49,43,Rio Grande do Sul
5002704,50,2022,18,50,Mato Grosso do Sul
5103403,51,2022,9,51,Mato Grosso
5208707,52,2022,15,52,Goiás
5300108,53,2022,35,53,Distrito Federal
